"会議開始からの時刻","日付","時刻","話者","タグ","発言内容"
"00:00:01","2026/01/15","13:36:29","speaker1","","ちょっと恥ずかしい。はい。どうなんだけど、どんな顔をしてくれます。いいえ。"
"00:00:09","2026/01/15","13:36:37","speaker1","","そうでしょう。"
"00:00:11","2026/01/15","13:36:39","speaker1","","あれなんです。僕として種村としてあるやろ。大丈夫っす。"
"00:00:21","2026/01/15","13:36:49","speaker1","","なんかし刺激のある質問してくれないから眠くなっちゃう。"
"00:00:26","2026/01/15","13:36:54","speaker1","","はい。"
"00:00:38","2026/01/15","13:37:06","speaker2","","本社の人は大体お集まりいただけてるんですか。"
"00:00:43","2026/01/15","13:37:11","speaker1","","H3ぐらい集まってますわね。大口さんは"
"00:00:49","2026/01/15","13:37:17","speaker1","","はっきりします。"
"00:00:50","2026/01/15","13:37:18","speaker1","","病気になったらすいません。はい。いや"
"00:00:53","2026/01/15","13:37:21","speaker1","","すいません回ちょっと今日、Webからの参加になってしまって申し訳ありませんがよろしくお願いしますはいお目付け役は前にいないと寂しいねと言いますよ。いやいや、お疲れ様ですすいません。"
"00:01:11","2026/01/15","13:37:39","speaker1","","嬉しいです。"
"00:01:13","2026/01/15","13:37:41","speaker1","","いいのかな"
"00:01:14","2026/01/15","13:37:42","speaker1","","はい。はい。"
"00:01:16","2026/01/15","13:37:44","speaker1","","うん。"
"00:01:19","2026/01/15","13:37:47","speaker1","","ちょっとそしたら奥さん多分"
"00:01:22","2026/01/15","13:37:50","speaker1","","初めてくれると思うので、はい。"
"00:01:25","2026/01/15","13:37:53","speaker2","","本社の人も集まってれば時間ほぼほぼ30分になり始める。"
"00:01:31","2026/01/15","13:37:59","speaker2","","なってきてますんで始めましょうか？はい。はい今日第3回目の会長勉強会ということで、見積もりと積算の話もしていただきますけれどもタイトルにあるように物の見方とか考え方の違いっていうことで、少し"
"00:01:48","2026/01/15","13:38:16","speaker2","","想像がつかない話でもあるので楽しみではあるなと思っていますぜひよろしくお願いいたします会長よろしくお願いいたします。はいよろしくお願いします。"
"00:01:59","2026/01/15","13:38:27","speaker1","","なるべく刺激のある質問を、度どの段階でも結構ですから、してください。ええ。私からも聞きたいと思います。例えば、"
"00:02:14","2026/01/15","13:38:42","speaker1","","そこに我々いつも見てる地木場公園の中にね、"
"00:02:21","2026/01/15","13:38:49","speaker1","","ありますね。あの吊り橋の頭が"
"00:02:25","2026/01/15","13:38:53","speaker1","","そっから見えるね等があります。"
"00:02:28","2026/01/15","13:38:56","speaker1","","頭が"
"00:02:31","2026/01/15","13:38:59","speaker1","","そっから窓からですね、何メーター離れてるというふうに"
"00:02:37","2026/01/15","13:39:05","speaker1","","見積ますか。"
"00:02:40","2026/01/15","13:39:08","speaker1","","何メーターぐらい。いやいいんですいいです何メーターだと思いますか。"
"00:02:45","2026/01/15","13:39:13","speaker1","","単純そうだね。"
"00:02:47","2026/01/15","13:39:15","speaker1","","うん。"
"00:02:48","2026/01/15","13:39:16","speaker1","","300、300メーターはい。他の急い意見は自分なら何メーターだと思うんですよ。"
"00:02:57","2026/01/15","13:39:25","speaker1","","長谷部くんどうだね。これ8分ぐらいです。500500メーター"
"00:03:02","2026/01/15","13:39:30","speaker1","","うん。"
"00:03:05","2026/01/15","13:39:33","speaker1","","例えば、いいよ300メーターの、なぜ300メーターだと思ったのかね。"
"00:03:14","2026/01/15","13:39:42","speaker1","","直感で、直感いけないんだよね。なぜそう思ったかっていうことだよね。長谷部くんはなんでそう思ったの"
"00:03:24","2026/01/15","13:39:52","speaker1","","北海に着くかなって考えたときに、ここから歩いて後6分で着くかなって計算したときに、"
"00:03:32","2026/01/15","13:40:00","speaker1","","500mぐらいかなと駅までが一応大体1キロぐらいで10分11分ぐらいなので、その半分で、なんで500そんなにある金曽祖母ないっすちょっとわからないすぐそこ大丈夫な俺に聞いて急い便、ボールの距離計で測るんだろうけどだよ。事前に生活したら俺は俺の方はね、答えは問題は、なぜそう思ったかっていうことなんだよね。"
"00:04:00","2026/01/15","13:40:28","speaker1","","例えば、物の考え方、今日今日の、あの、この見積もりの一番大事なことだ。なぜそう思ったかっていうと、例えばその交差点からね、そこのきょ京都待鳥かなそれこそ何どれかしらそこの交差点からここまで何メーターぐらいあると思いますか。"
"00:04:21","2026/01/15","13:40:49","speaker1","","そこの大きな交差点ね。"
"00:04:25","2026/01/15","13:40:53","speaker1","","これも測ったんでわかります。"
"00:04:28","2026/01/15","13:40:56","speaker1","","135メーターぐらいです。"
"00:04:33","2026/01/15","13:41:01","speaker1","","交差点からうちの玄関までね、135メーターぐらいです。"
"00:04:39","2026/01/15","13:41:07","speaker1","","問題は白根元まで何メーターかっていう話だよね。あと、公園の幅っていうのは大体わかるよね。公園の幅がどのぐらいあるだろうか。"
"00:04:52","2026/01/15","13:41:20","speaker1","","200メーターなのか300メーターなのか、どういうふうに考えるかってことだよね。"
"00:04:57","2026/01/15","13:41:25","speaker1","","例えば幅200メーター、長さが700メーターだというふうに公園の大きさをやるとですね。"
"00:05:06","2026/01/15","13:41:34","speaker1","","道で公園の大きさがそうだとするとその公園からこっちまでまた30メーターぐらいあるんですね道路の幅があるんでね。"
"00:05:17","2026/01/15","13:41:45","speaker1","","大体、だからこうなんだというふうに言っていかなきゃいかんのねと。例えば、こっから我々が見る橋とこの交差点と、この三角形を作ってみるとね多分"
"00:05:35","2026/01/15","13:42:03","speaker1","","150メーター150メーターぐらいの三角形かなというような感覚んなるよねもう少し向こうが長いかもわからないゆ実際の距離は200メーターです。"
"00:05:49","2026/01/15","13:42:17","speaker1","","ぴったり200メーターです。"
"00:05:51","2026/01/15","13:42:19","speaker1","","手前の頭がね、2人で200メーターをどうやって、考え方として導き出すかっていう、このことが、ものの考え方見方の違いというふうに言わなきゃいかんですね例えば300といった人もいるし500といった人もいるしね。写したら誰が根本くん750メーターって言うかもわからんねそれはねそうだよね。ただ、なぜそう思ったかっていう。"
"00:06:17","2026/01/15","13:42:45","speaker1","","このことが極めて大事だってことは、今日のテーマになります。"
"00:06:22","2026/01/15","13:42:50","speaker1","","進めていきましょう。タイトル。はい。"
"00:06:26","2026/01/15","13:42:54","speaker1","","実はですね、これ、見ていただいて、フィンランドのミス・フィンランドがですね、つり目を押したんすよね。ということで今、"
"00:06:42","2026/01/15","13:43:10","speaker1","","議論首相がですね、ジオン間中国の大使館に正式に謝罪をして、フィンランドは差別と徹底的に戦いますと"
"00:06:57","2026/01/15","13:43:25","speaker1","","いうことで、正式に謝罪をしました。これは何かの吹鳴は、東アジアなど、例えば韓国日本中国というこの東アジアのアジア民族に対する蔑視差別なんですね。"
"00:07:13","2026/01/15","13:43:41","speaker1","","これは欧州にこういう議論があるんですけれども、そのことに関して、あの直後のフィンランドの首相がですね、正式に謝罪をして、実はこういうことはしませんというふうに謝罪をしたっていうのは、昨日今日の新聞で報道されてます。"
"00:07:34","2026/01/15","13:44:02","speaker1","","なぜフィンランドがこんなことで謝罪をしたんだろうかということなんです。要するに、フィンランドという国は、我々アジア民族と同じ文法を使います珍しいんです。"
"00:07:51","2026/01/15","13:44:19","speaker1","","あそことハンガリーとヨーロッパでこの二つの国は我々と同じ文法を使います。SOVの文法使う目的が先にきて同氏が後からきます世界中で滅多にない英文法の使い方です。あるウラル語族と"
"00:08:09","2026/01/15","13:44:37","speaker1","","昔は我々のこっちにアジアにいるアジアといいますか、"
"00:08:16","2026/01/15","13:44:44","speaker1","","アジア大陸のトルコから日本に至るまでのこの長いシルクロードのこの道のりを、アルタイ語族と言って合わせてグラフアルタイ語族と言ったこのSOVの文法を使う民族なんです。"
"00:08:32","2026/01/15","13:45:00","speaker1","","これは古い話なんで、どこまで本当かは別にしましてもこの文法は間違いありません我々と同じ文法を使う。このSVOじゃなくてSOVの文法を使うってのは、日本、朝鮮半島、それから中国の上をずっと細長い帯のように通ってですねウズベキスタンだとかタジキスタンだとかパキスタンだとか、それから最後には一番向こうの恥は、"
"00:09:01","2026/01/15","13:45:29","speaker1","","トルコです。トルコがアジアの終点です。これがみんな同じ分布を使ってこそダガー帯のように流れてます。ところが昔中央アジアに郷土というその種族がおりましてね。これが突然中央アジアから消えて、"
"00:09:20","2026/01/15","13:45:48","speaker1","","ヨーロッパに付属として現れるということでヨーロッパの民族大移動が起こったわけですけれどもその附属はローマに敗れて、お忍びた先がフィンランドで品付属のランドでフィンランドというふうに言われてると言っております。定かではありませんが、すっと何とか"
"00:09:44","2026/01/15","13:46:12","speaker1","","最もらしいんで、付属の国だと彼らは同じ文法を使うと、こういうふうに理解するとわかりやすいんですが、その同じアジアの民族がなぜアジアの民族をを揶揄してですね、変な民族意識を発揮したのかよくわかりません。"
"00:10:05","2026/01/15","13:46:33","speaker1","","要するに、彼らは外見上西洋人の顔をして、西洋人の体格してますけども、しかし根本的には文化人類学上でいうと、ひょっとしたらアジア人なのかもわかりませんということがあって本物は何かという。"
"00:10:23","2026/01/15","13:46:51","speaker1","","どこまで本物で誰が間違ってるかっていう話をこれからしていきたいと思います夏目漱石のお話を少しさせてください。"
"00:10:36","2026/01/15","13:47:04","speaker1","","これここに数点線の引いてあるところだけ読まさせていただきます。夏目漱石はロンドン留学中の日記1901年ですからこの20世紀が始まったばっかりですね、に書いている。"
"00:10:52","2026/01/15","13:47:20","speaker1","","日本人を診て知ら人と言われると嫌がるのはいかがと、支那人は日本中よりも遥かに名誉ある国民なりただ不幸にして、目下、不信の有様に"
"00:11:08","2026/01/15","13:47:36","speaker1","","どうかっていうのがびっくりね。陳論かどう読むのあれ難しい時だね。ええ。いや、心ある人は日本人と呼ばれるよりも、シナ人と言われる名誉とすべきなりというこういうふうに夏目漱石が言ってんですね。要するにヨーロッパ人にしてみると、"
"00:11:31","2026/01/15","13:47:59","speaker1","","例えば東アジアの日本人韓国人中国人とは区別つかないわけですよ。彼らにそしてみればいっぱひとからげアジア人なんですそれはね、ということなんです。その一般人から下のこのアジア人が今とんでもない先の文化を持ったいわゆる"
"00:11:56","2026/01/15","13:48:24","speaker1","","産業革命を起こした欧米に今対抗して、その主役にこの東南アジアのこの一角のいわゆる極東と言われるはるか東なんですね。ヨーロッパがあるんだはるか東極東とファーストのこの国、この国々がですね、"
"00:12:16","2026/01/15","13:48:44","speaker1","","今世界の中心になろうとしているとこういうところですね。ここにちょっとありますけれども、オランダはですね、昔、台湾をしばらく支配していたということは誰も知らないと思いますけども、そういう時代もあったということで、"
"00:12:37","2026/01/15","13:49:05","speaker1","","次行きましょう。これは寺島さんの本です。"
"00:12:42","2026/01/15","13:49:10","speaker1","","このお互いに謝罪フィンランドは謝罪をしたっていうこの日中間の教育の違いっていうことですね。これは伊藤忠の会長の"
"00:12:57","2026/01/15","13:49:25","speaker1","","とか、"
"00:12:59","2026/01/15","13:49:27","speaker1","","岡藤さんか。そう。加藤さんの岡藤さん。うんね。が書いて正に書いてあります。"
"00:13:10","2026/01/15","13:49:38","speaker1","","中国の友人が面白いことを言っていた中国人は小さい頃から人に騙されるなと教えられるという。"
"00:13:19","2026/01/15","13:49:47","speaker1","","これが韓国では人に負けるなというふうになる一方、日本では1人迷惑をかけるんだと、こういうふうに教えられるというふうに減っております。本当かどうか知りませんけどこれはすごい何とか何となくそんな感じはするんですね。"
"00:13:40","2026/01/15","13:50:08","speaker1","","今中国も韓国も、それから日本も多い上に、今世紀に入ってですね、目覚ましい経済が発展をしてきて、欧米人では区別つかない、つかないかわからないんですがそうすりゃそうですよね我々愛知県の人間でも愛知県尾張の人間と三河の岡崎あたりの話し方は全然違いますしね。すぐ隣の"
"00:14:07","2026/01/15","13:50:35","speaker1","","三重県の桑名の辺り行くとですね、もう関西の言葉使えますから全く違うんですよ。大阪でもね、京都だとか大阪だとか神戸だとかね、奈良だとかまた言葉が違う我々区別つかないんですけれども"
"00:14:24","2026/01/15","13:50:52","speaker1","","話し方が全然違うようなんですが、そういうことがあって、見方考え方が地域によっても違うし、国によっても違うし、それから、個々人も全部答えが違う部分だけ全部考え方も違ってくるんで。例えば、物の見方をどうするか。例えば我々見積もりをしたり積算をして見積もりをしたりっていうこういうことがあるんですが、その見方をどうやって統一していくかと"
"00:14:57","2026/01/15","13:51:25","speaker1","","いうことで、いろんな見方があるんで、後から本題に入りますけれどももう一つ、今度は科学者の話をしましょうよこの前もちょっと触れたかわかりませんほぼ仲良くしろという波がこの人は完全な地球物理学の先生です。"
"00:15:18","2026/01/15","13:51:46","speaker1","","私が最も尊敬する赤瀬なんですがこの方は科学という科学的にものを考えるという、これは全部数字に置き換えて誰がやっても同じ条件を作れば必ず同じ結果が出るということで東大の寺田寅子の"
"00:15:43","2026/01/15","13:52:11","speaker1","","射程になるんですけども、石川県の出身で東京大学を卒業して北海道大学へ行って、北大で雪の研究をする、世界で初めて雪の結晶を作り上げたパターです。"
"00:15:59","2026/01/15","13:52:27","speaker1","","極めて科学的に何回も何回も実験を繰り返して、結局いくら雪を作ろうとしても作れなかったんですが、"
"00:16:12","2026/01/15","13:52:40","speaker1","","ある日、ウサギの毛を使ってですね、試験管の中でウサギの細い毛のところに過冷却した空気を入れるとですね、綺麗な雪の結晶ができてくると、少し送ってもらえますか。"
"00:16:29","2026/01/15","13:52:57","speaker1","","ああいうですね、非常にあれは自然が作る芸術なんですけども、交流ができるのと雪ができると違いますんで、この雪の結晶をどうやって作るかということですね。いろんな雪の結晶出てきますから"
"00:16:45","2026/01/15","13:53:13","speaker1","","今度いろんな形ができています。そうすると、"
"00:16:50","2026/01/15","13:53:18","speaker1","","パーク社ですから、パーク社の考えることは、どういう条件を与えれば、どの結晶ができる、何千種類の大結晶ですね何回も何回も繰り返し作っていくと、ある一定の法則があって、"
"00:17:06","2026/01/15","13:53:34","speaker1","","同じ条件を与えれば誰がやる。AさんがやろうとBさんがやろうと。結果、同じものができると、こういう科学的にですね、物を作る、作り出すということいや、世界で初めてやってのけた方です。たくさんの本も表しておりますけれども、科学の本質と"
